MatchID,TournamentID,MatchName,Stage,MatchDate,MatchTime,StadiumID,HomeTeamID,AwayTeamID,HomeTeamScore,AwayTeamScore,ExtraTime,PenaltyShootout,HomePenalty,AwayPenalty,Result
M-2002-53,WC-2002,Mexico v United States,round of 16,6/17/2002,15:30:00,S-142,T-44,T-80,0,2,0,0,0,0,away team win
M-2002-54,WC-2002,Brazil v Belgium,round of 16,6/17/2002,20:30:00,S-086,T-09,T-06,2,0,0,0,?,0,home team win
M-2002-55,WC-2002,Japan v Turkey,round of 16,6/18/2002,15:30:00,S-087,T-42,T-77,0,1,0,0,0,?,away team win
M-2002-56,WC-2002,South Korea v Italy,round of 16,6/18/2002,20:30:00,S-139,T-69,T-39,2,1,1,0,0,0,home team win
M-2002-57,WC-2002,England v Brazil,quarter-finals,6/21/2002,15:30:00,S-093,T-27,T-09,1,2,0,0,0,0,away team win
M-2002-58,WC-2002,Germany v United States,quarter-finals,6/21/2002,20:30:00,S-146,T-29,T-80,1,0,0,0,0,0,home team win
M-2002-59,WC-2002,Spain v South Korea,quarter-finals,6/22/2002,15:30:00,S-140,T-71,T-69,0,0,1,1,3,5,away team win
M-2002-60,WC-2002,Senegal v Turkey,quarter-finals,6/22/2002,20:30:00,S-090,T-63,T-77,0,1,1,0,0,0,away team win
M-2002-61,WC-2002,Germany v South Korea,semi-finals,6/25/2002,20:30:00,S-144,T-29,T-69,1,0,0,0,0,0,home team win
M-2002-62,WC-2002,Brazil v Turkey,semi-finals,6/26/2002,20:30:00,S-091,T-09,T-77,1,0,0,0,0,0,home team win
M-2002-63,WC-2002,South Korea v Turkey,third-place match,6/29/2002,20:00:00,S-138,T-69,T-77,2,3,0,0,0,0,away team win
M-2002-64,WC-2002,Germany v Brazil,final,6/30/2002,20:00:00,S-094,T-29,T-09,0,2,0,0,0,0,away team win
M-2006-01,WC-2006,Germany v Costa Rica,group stage,06/09/2006,18:00:00,S-064,T-29,T-16,4,2,0,0,0,0,home team win
M-2006-02,WC-2006,Poland v Ecuador,group stage,06/09/2006,21:00:00,S-058,T-55,T-24,0,2,0,0,0,0,away team win
M-2006-03,WC-2006,England v Paraguay,group stage,06/10/2006,15:00:00,S-057,T-27,T-53,1,0,0,0,0,0,home team win
M-2006-04,WC-2006,Trinidad and Tobago v Sweden,group stage,06/10/2006,18:00:00,S-055,T-75,T-72,0,0,0,0,0,0,draw
M-2006-05,WC-2006,Argentina v Ivory Coast,group stage,06/10/2006,21:00:00,S-060,T-03,T-40,2,1,0,0,0,0,home team win
M-2006-06,WC-2006,Serbia and Montenegro v Netherlands,group stage,06/11/2006,15:00:00,S-063,T-65,T-46,0,1,0,0,0,0,away team win
M-2006-07,WC-2006,Mexico v Iran,group stage,06/11/2006,18:00:00,S-066,T-44,T-36,3,1,0,0,0,0,home team win
M-2006-08,WC-2006,Angola v Portugal,group stage,06/11/2006,21:00:00,S-054,T-02,T-56,0,1,0,0,0,0,away team win
M-2006-09,WC-2006,Australia v Japan,group stage,06/12/2006,15:00:00,S-062,T-04,T-42,3,1,0,0,0,0,home team win
M-2006-10,WC-2006,United States v Czech Republic,group stage,06/12/2006,18:00:00,S-058,T-80,T-19,0,3,0,0,0,0,away team win
M-2006-11,WC-2006,Italy v Ghana,group stage,06/12/2006,21:00:00,S-061,T-39,T-30,2,0,0,0,0,0,home team win
M-2006-12,WC-2006,South Korea v Togo,group stage,6/13/2006,15:00:00,S-057,T-69,T-74,2,1,0,0,0,0,home team win
M-2006-13,WC-2006,France v Switzerland,group stage,6/13/2006,18:00:00,S-067,T-28,T-73,0,0,0,0,0,0,draw
M-2006-14,WC-2006,Brazil v Croatia,group stage,6/13/2006,21:00:00,S-053,T-09,T-17,1,0,0,0,0,0,home team win
M-2006-15,WC-2006,Spain v Ukraine,group stage,6/14/2006,15:00:00,S-063,T-71,T-78,4,0,0,0,0,0,home team win
M-2006-16,WC-2006,Tunisia v Saudi Arabia,group stage,6/14/2006,18:00:00,S-064,T-76,T-61,2,2,0,0,0,0,draw
M-2006-17,WC-2006,Germany v Poland,group stage,6/14/2006,21:00:00,S-055,T-29,T-55,1,0,0,0,0,0,home team win
M-2006-18,WC-2006,Ecuador v Costa Rica,group stage,6/15/2006,15:00:00,S-060,T-24,T-16,3,0,0,0,0,?,home team win
M-2006-19,WC-2006,England v Trinidad and Tobago,group stage,6/15/2006,18:00:00,S-066,T-27,T-75,2,0,0,0,?,0,home team win
M-2006-20,WC-2006,Sweden v Paraguay,group stage,6/15/2006,21:00:00,S-053,T-72,T-53,1,0,0,0,0,0,home team win
M-2006-21,WC-2006,Argentina v Serbia and Montenegro,group stage,6/16/2006,15:00:00,S-058,T-03,T-65,6,0,0,0,0,0,home team win
M-2006-22,WC-2006,Netherlands v Ivory Coast,group stage,6/16/2006,18:00:00,S-067,T-46,T-40,2,1,0,0,0,0,home team win
M-2006-23,WC-2006,Mexico v Angola,group stage,6/16/2006,21:00:00,S-061,T-44,T-02,0,0,0,0,0,0,draw
M-2006-24,WC-2006,Portugal v Iran,group stage,6/17/2006,15:00:00,S-057,T-56,T-36,2,0,0,0,0,0,home team win
M-2006-25,WC-2006,Czech Republic v Ghana,group stage,6/17/2006,18:00:00,S-054,T-19,T-30,0,2,0,0,0,0,away team win
M-2006-26,WC-2006,Italy v United States,group stage,6/17/2006,21:00:00,S-062,T-39,T-80,1,1,0,0,0,0,draw
M-2006-27,WC-2006,Japan v Croatia,group stage,6/18/2006,15:00:00,S-066,T-42,T-17,0,0,0,0,0,0,draw
M-2006-28,WC-2006,Brazil v Australia,group stage,6/18/2006,18:00:00,S-064,T-09,T-04,2,0,0,0,0,0,home team win
M-2006-29,WC-2006,France v South Korea,group stage,6/18/2006,21:00:00,S-063,T-28,T-69,1,1,0,0,0,0,draw
M-2006-30,WC-2006,Togo v Switzerland,group stage,6/19/2006,15:00:00,S-055,T-74,T-73,0,2,0,0,0,0,away team win
M-2006-31,WC-2006,Saudi Arabia v Ukraine,group stage,6/19/2006,18:00:00,S-060,T-61,T-78,0,4,0,0,0,0,away team win
M-2006-32,WC-2006,Spain v Tunisia,group stage,6/19/2006,21:00:00,S-067,T-71,T-76,3,1,0,0,0,0,home team win
M-2006-33,WC-2006,Costa Rica v Poland,group stage,6/20/2006,16:00:00,S-061,T-16,T-55,1,2,0,0,0,0,away team win
M-2006-34,WC-2006,Ecuador v Germany,group stage,6/20/2006,16:00:00,S-053,T-24,T-29,0,3,0,0,0,0,away team win
M-2006-35,WC-2006,Paraguay v Trinidad and Tobago,group stage,6/20/2006,21:00:00,S-062,T-53,T-75,2,0,0,0,0,0,home team win
M-2006-36,WC-2006,Sweden v England,group stage,6/20/2006,21:00:00,S-054,T-72,T-27,2,2,0,0,0,0,draw
M-2006-37,WC-2006,Iran v Angola,group stage,6/21/2006,16:00:00,S-063,T-36,T-02,1,1,0,0,0,0,draw
M-2006-38,WC-2006,Portugal v Mexico,group stage,6/21/2006,16:00:00,S-058,T-56,T-44,2,1,0,0,0,0,home team win
M-2006-39,WC-2006,Ivory Coast v Serbia and Montenegro,group stage,6/21/2006,21:00:00,S-064,T-40,T-65,3,2,0,0,0,0,home team win
M-2006-40,WC-2006,Netherlands v Argentina,group stage,6/21/2006,21:00:00,S-057,T-46,T-03,0,0,0,0,0,0,draw
M-2006-41,WC-2006,Czech Republic v Italy,group stage,6/22/2006,16:00:00,S-060,T-19,T-39,0,2,0,0,0,0,away team win
M-2006-42,WC-2006,Ghana v United States,group stage,6/22/2006,16:00:00,S-066,T-30,T-80,2,1,0,0,0,0,home team win
M-2006-43,WC-2006,Croatia v Australia,group stage,6/22/2006,21:00:00,S-067,T-17,T-04,2,2,0,0,0,0,draw
M-2006-44,WC-2006,Japan v Brazil,group stage,6/22/2006,21:00:00,S-055,T-42,T-09,1,4,0,0,0,0,away team win
M-2006-45,WC-2006,Saudi Arabia v Spain,group stage,6/23/2006,16:00:00,S-062,T-61,T-71,0,1,0,0,0,0,away team win
M-2006-46,WC-2006,Ukraine v Tunisia,group stage,6/23/2006,16:00:00,S-053,T-78,T-76,1,0,0,0,0,0,home team win
M-2006-47,WC-2006,Switzerland v South Korea,group stage,6/23/2006,21:00:00,S-061,T-73,T-69,2,0,0,0,0,0,home team win
M-2006-48,WC-2006,Togo v France,group stage,6/23/2006,21:00:00,S-054,T-74,T-28,0,2,0,0,0,0,away team win
M-2006-49,WC-2006,Germany v Sweden,round of 16,6/24/2006,17:00:00,S-064,T-29,T-72,2,0,0,0,0,0,home team win
M-2006-50,WC-2006,Argentina v Mexico,round of 16,6/24/2006,21:00:00,S-063,T-03,T-44,2,1,1,0,0,0,home team win
M-2006-51,WC-2006,England v Ecuador,round of 16,6/25/2006,17:00:00,S-067,T-27,T-24,1,0,0,0,0,0,home team win
